"cat_id","categoria","subcat_id_1","subcategoria_1","subcat_id_2","subcategoria_2","subcat_id_3","subcategoria_3","subcat_id_4","subcategoria_4","subcat_id_5","subcategoria_5","subcat_id_6","subcategoria_6"
"MLM1747","Accesorios para Vehículos","MLM92153","Acc. para Motos y Cuatrimotos","MLM92156","Rampas",NA,NA,NA,NA,NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM92153","Acc. para Motos y Cuatrimotos","MLM188938","Redes Portabultos",NA,NA,NA,NA,NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM92153","Acc. para Motos y Cuatrimotos","MLM437555","Repuestos para Cascos",NA,NA,NA,NA,NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM92153","Acc. para Motos y Cuatrimotos","MLM437554","Simil Turbo",NA,NA,NA,NA,NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM92153","Acc. para Motos y Cuatrimotos","MLM443874","Sliders",NA,NA,NA,NA,NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM92153","Acc. para Motos y Cuatrimotos","MLM437558","Soportes de Parabrisas",NA,NA,NA,NA,NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM92153","Acc. para Motos y Cuatrimotos","MLM437559","Straps",NA,NA,NA,NA,NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM92153","Acc. para Motos y Cuatrimotos","MLM437557","Tableros y Velocímetros",NA,NA,NA,NA,NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM92153","Acc. para Motos y Cuatrimotos","MLM429338","Visores para Cascos",NA,NA,NA,NA,NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM92153","Acc. para Motos y Cuatrimotos","MLM5810","Otros",NA,NA,NA,NA,NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM5320","Accesorios de Auto y Camioneta","MLM92132","Accesorios para el Exterior","MLM179849","Accesorios para Bateas","MLM187187","Bedliners",NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM5320","Accesorios de Auto y Camioneta","MLM92132","Accesorios para el Exterior","MLM179849","Accesorios para Bateas","MLM437652","Cajas de Herramientas",NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM5320","Accesorios de Auto y Camioneta","MLM92132","Accesorios para el Exterior","MLM179849","Accesorios para Bateas","MLM179852","Campers",NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM5320","Accesorios de Auto y Camioneta","MLM92132","Accesorios para el Exterior","MLM179849","Accesorios para Bateas","MLM437649","Lomos de cajas",NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM5320","Accesorios de Auto y Camioneta","MLM92132","Accesorios para el Exterior","MLM179849","Accesorios para Bateas","MLM437650","Lonas Marítimas",NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM5320","Accesorios de Auto y Camioneta","MLM92132","Accesorios para el Exterior","MLM179849","Accesorios para Bateas","MLM180900","Roll Bar",NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM5320","Accesorios de Auto y Camioneta","MLM92132","Accesorios para el Exterior","MLM179849","Accesorios para Bateas","MLM179850","Tapas de Bateas",NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM5320","Accesorios de Auto y Camioneta","MLM92132","Accesorios para el Exterior","MLM179849","Accesorios para Bateas","MLM179853","Otros",NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM5320","Accesorios de Auto y Camioneta","MLM92132","Accesorios para el Exterior","MLM92158","Burreras",NA,NA,NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM5320","Accesorios de Auto y Camioneta","MLM92132","Accesorios para el Exterior","MLM194014","Cámaras de Reversa",NA,NA,NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM5320","Accesorios de Auto y Camioneta","MLM92132","Accesorios para el Exterior","MLM180526","Cantoneras",NA,NA,NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM5320","Accesorios de Auto y Camioneta","MLM92132","Accesorios para el Exterior","MLM188637","Centros de Rin",NA,NA,NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM5320","Accesorios de Auto y Camioneta","MLM92132","Accesorios para el Exterior","MLM440152","Deflectores","MLM62346","Deflectores de Cofre",NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM5320","Accesorios de Auto y Camioneta","MLM92132","Accesorios para el Exterior","MLM440152","Deflectores","MLM403346","Deflectores de Ventanilla",NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM5320","Accesorios de Auto y Camioneta","MLM92132","Accesorios para el Exterior","MLM440152","Deflectores","MLM439838","Otros",NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM5320","Accesorios de Auto y Camioneta","MLM92132","Accesorios para el Exterior","MLM437618","Embellecedores","MLM429567","Cubre Calipers",NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM5320","Accesorios de Auto y Camioneta","MLM92132","Accesorios para el Exterior","MLM437618","Embellecedores","MLM73296","Cubre Manijas",NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM5320","Accesorios de Auto y Camioneta","MLM92132","Accesorios para el Exterior","MLM437618","Embellecedores","MLM62383","Porta Placas",NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM5320","Accesorios de Auto y Camioneta","MLM92132","Accesorios para el Exterior","MLM437618","Embellecedores","MLM432911","Tapones de Válvulas",NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM5320","Accesorios de Auto y Camioneta","MLM92132","Accesorios para el Exterior","MLM437618","Embellecedores","MLM437619","Otros",NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM5320","Accesorios de Auto y Camioneta","MLM92132","Accesorios para el Exterior","MLM187726","Eslinga",NA,NA,NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM5320","Accesorios de Auto y Camioneta","MLM92132","Accesorios para el Exterior","MLM418175","Espaciadores de Rines",NA,NA,NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM5320","Accesorios de Auto y Camioneta","MLM92132","Accesorios para el Exterior","MLM5995","Estribos",NA,NA,NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM5320","Accesorios de Auto y Camioneta","MLM92132","Accesorios para el Exterior","MLM180527","Fundas","MLM45814","Antifaces",NA,NA,NA,NA
